coverage,baseline,comp_diff,comp_p,suff_diff,suff_p
0.05,sum,-0.08999999999999997,0.008523619288649751,-0.09999999999999996,0.04271174981887846
0.05,mean,-0.08999999999999997,0.0007601177639741699,-0.09999999999999996,0.025637844782817085
0.05,max,-0.08999999999999997,0.038495184713135684,-0.09999999999999996,0.04674629632288989
0.1,sum,-0.08999999999999997,0.04546918659670371,-0.09999999999999996,0.04099928099042748
0.1,mean,-0.08999999999999997,0.04442074834809907,-0.09999999999999996,0.010041062323270117
0.1,max,-0.08999999999999997,0.014280796356015264,-0.09999999999999996,0.014519529393560819
0.15,sum,-0.08999999999999997,0.01891499115698477,-0.09999999999999996,0.019726701452220916
0.15,mean,-0.08999999999999997,0.027273310700268307,-0.09999999999999996,0.008078000191985424
0.15,max,-0.08999999999999997,0.03459320852292087,-0.09999999999999996,0.008461570311294873
0.2,sum,-0.08999999999999997,0.015584393257016922,-0.09999999999999996,0.025216922017247085
0.2,mean,-0.08999999999999997,0.03984238402002152,-0.09999999999999996,0.036999514738612495
0.2,max,-0.08999999999999997,0.032312164384885066,-0.09999999999999996,0.007873085702950491
0.25,sum,-0.08999999999999997,0.027397562746217328,-0.09999999999999996,0.004463580439814284
0.25,mean,-0.08999999999999997,0.018930422522152872,-0.09999999999999996,0.02073447486146896
0.25,max,-0.08999999999999997,0.0020865908283431156,-0.09999999999999996,0.013772006163551594
0.3,sum,-0.08999999999999997,0.04778690841659782,-0.09999999999999996,0.04768626713070151
0.3,mean,-0.08999999999999997,0.01768112000720171,-0.09999999999999996,0.0022506954365213703
0.3,max,-0.08999999999999997,0.009036837472476258,-0.09999999999999996,0.01967166789233365
