metric,baseline,budget,mean_h,mean_b,delta,ci_lower,ci_upper,raw_p,holm_p,significant_holm,cohens_dz
comp_efficiency,max,10,1.0956986132601882,1.2255454294995567,-0.12984681623936883,-0.18948489990881845,-0.07019036625161902,9.999000099990002e-05,0.000999900009999,True,-0.05987965206469279
comp_efficiency,mean,10,1.0956986132601882,1.067658980723423,0.02803963253676521,-0.030676100539351523,0.0868297394210461,0.3578642135786421,0.0,False,0.01309854880645435
comp_efficiency,sum,10,1.0956986132601882,1.2663210973967083,-0.17062248413652045,-0.22899832699982373,-0.11282235527872504,9.999000099990002e-05,0.0033996600339966003,True,-0.08016547933803876
comp_efficiency,max,20,1.0133344667509103,1.1011685864540532,-0.08783411970314314,-0.12640710330149862,-0.049455220584477357,0.00019998000199980003,0.000999900009999,True,-0.06253804027370397
comp_efficiency,mean,20,1.0133344667509103,0.9687200795024705,0.0446143872484397,0.005166407281731826,0.08426017358981917,0.028897110288971104,0.08669133086691332,False,0.030949531301577755
comp_efficiency,sum,20,1.0133344667509103,1.1201887348393613,-0.10685426808845103,-0.14539489992868992,-0.0674063653718509,9.999000099990002e-05,0.0029997000299970007,True,-0.07687234245179211
comp_efficiency,max,30,0.9205698812965363,0.9482021533736005,-0.02763227207706421,-0.0554536825630084,0.00042583092850722264,0.054394560543945605,0.0,False,-0.027048007648758702
comp_efficiency,mean,30,0.9205698812965363,0.858556926528957,0.06201295476757905,0.033474191724026235,0.09082101285364157,9.999000099990002e-05,0.0015998400159984002,True,0.059525111634841116
comp_efficiency,sum,30,0.9205698812965363,0.9579449525618826,-0.03737507126534644,-0.06478330778718895,-0.010303341084864802,0.0065993400659934,0.0263973602639736,True,-0.03783381504351053
comprehensiveness,max,10,0.30358792488155995,0.16209963688367712,0.1414882879978828,0.13229416712811912,0.15100739704101232,9.999000099990002e-05,0.0012998700129987003,True,0.4192791746944791
comprehensiveness,mean,10,0.30358792488155995,0.14324059257088245,0.16034733231067747,0.15058199522187993,0.17027582981605005,9.999000099990002e-05,0.0024997500249975004,True,0.45371643706222453
comprehensiveness,sum,10,0.30358792488155995,0.1664511628090064,0.13713676207255351,0.1279708787539667,0.14619057414955725,9.999000099990002e-05,0.0035996400359964006,True,0.41673643833775026
comprehensiveness,max,20,0.3093540345969421,0.20682136788564723,0.10253266671129485,0.09394360738343162,0.11140879392617825,9.999000099990002e-05,0.001999800019998,True,0.325477919759125
comprehensiveness,mean,20,0.3093540345969421,0.18418578346091183,0.12516825113603025,0.11595579501425583,0.13454180794077067,9.999000099990002e-05,0.0020997900209979003,True,0.3741599948802826
comprehensiveness,sum,20,0.3093540345969421,0.2106754361399701,0.09867859845697198,0.09008772782836946,0.1074941992735925,9.999000099990002e-05,0.0031996800319968005,True,0.3176744171809352
comprehensiveness,max,30,0.3182818515164067,0.2491360960220746,0.06914575549433215,0.060918201667654555,0.07754800971715897,9.999000099990002e-05,0.0005999400059994001,True,0.2288892273835892
comprehensiveness,mean,30,0.3182818515164067,0.22692087426371735,0.09136097725268937,0.08276655432587213,0.10014028560844433,9.999000099990002e-05,0.0016998300169983002,True,0.2916313770175428
